Season,Tm,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2003-04,2nd,Ben Wallace,Jermaine O'Neal,Peja Stojaković,Sam Cassell,Tracy McGrady
2003-04,3rd,Yao Ming,Metta World Peace,Dirk Nowitzki,Baron Davis,Michael Redd
2002-03,1st,Shaquille O'Neal,Tim Duncan,Kevin Garnett,Kobe Bryant,Tracy McGrady
2002-03,2nd,Ben Wallace,Dirk Nowitzki,Chris Webber,Allen Iverson,Jason Kidd
2002-03,3rd,Jermaine O'Neal,Jamal Mashburn,Paul Pierce,Stephon Marbury,Steve Nash
2001-02,1st,Shaquille O'Neal,Tim Duncan,Tracy McGrady,Kobe Bryant,Jason Kidd
2001-02,2nd,Dirk Nowitzki,Kevin Garnett,Chris Webber,Allen Iverson,Gary Payton
2001-02,3rd,Dikembe Mutombo,Jermaine O'Neal,Ben Wallace,Steve Nash,Paul Pierce
2000-01,1st,Shaquille O'Neal,Tim Duncan,Chris Webber,Allen Iverson,Jason Kidd
2000-01,2nd,Dikembe Mutombo,Vince Carter,Kevin Garnett,Kobe Bryant,Tracy McGrady
2000-01,3rd,David Robinson,Karl Malone,Dirk Nowitzki,Ray Allen,Gary Payton
