Season,Tm,Player,Label
2023-24,2nd,Kawhi Leonard,1
2022-23,2nd,Jaylen Brown,1
2021-22,2nd,DeMar DeRozan,1
2020-21,2nd,LeBron James,1
2019-20,2nd,Pascal Siakam,1
2018-19,2nd,Kawhi Leonard,1
2017-18,2nd,LaMarcus Aldridge,1
2016-17,2nd,Kevin Durant,1
2015-16,2nd,Draymond Green,1
2014-15,2nd,LaMarcus Aldridge,1
2013-14,2nd,Kevin Love,1
2012-13,2nd,Blake Griffin,1
2011-12,2nd,Kevin Love,1
2010-11,2nd,Dirk Nowitzki,1
2009-10,2nd,Dirk Nowitzki,1
2008-09,2nd,Paul Pierce,1
2007-08,2nd,Dirk Nowitzki,1
2006-07,2nd,LeBron James,1
2005-06,2nd,Tim Duncan,1
2004-05,2nd,LeBron James,1
2003-04,2nd,Peja Stojaković,1
2002-03,2nd,Chris Webber,1
2001-02,2nd,Chris Webber,1
2000-01,2nd,Kevin Garnett,1
2023-24,2nd,Jalen Brunson,1
2022-23,2nd,Donovan Mitchell,1
2021-22,2nd,Ja Morant,1
2020-21,2nd,Chris Paul,1
2019-20,2nd,Damian Lillard,1
2018-19,2nd,Damian Lillard,1
2017-18,2nd,Russell Westbrook,1
2016-17,2nd,Stephen Curry,1
2015-16,2nd,Chris Paul,1
2014-15,2nd,Russell Westbrook,1
2013-14,2nd,Stephen Curry,1
2012-13,2nd,Tony Parker,1
2011-12,2nd,Tony Parker,1
2010-11,2nd,Dwyane Wade,1
2009-10,2nd,Steve Nash,1
2008-09,2nd,Chris Paul,1
2007-08,2nd,Steve Nash,1
2006-07,2nd,Gilbert Arenas,1
2005-06,2nd,Chauncey Billups,1
2004-05,2nd,Ray Allen,1
2003-04,2nd,Sam Cassell,1
2002-03,2nd,Allen Iverson,1
2001-02,2nd,Allen Iverson,1
2000-01,2nd,Kobe Bryant,1
2023-24,2nd,Anthony Edwards,1
2022-23,2nd,Stephen Curry,1
2021-22,2nd,Stephen Curry,1
2020-21,2nd,Damian Lillard,1
2019-20,2nd,Chris Paul,1
2018-19,2nd,Kyrie Irving,1
2017-18,2nd,DeMar DeRozan,1
2016-17,2nd,Isaiah Thomas,1
2015-16,2nd,Damian Lillard,1
2014-15,2nd,Chris Paul,1
2013-14,2nd,Tony Parker,1
2012-13,2nd,Russell Westbrook,1
2011-12,2nd,Russell Westbrook,1
2010-11,2nd,Russell Westbrook,1
2009-10,2nd,Deron Williams,1
2008-09,2nd,Brandon Roy,1
2007-08,2nd,Deron Williams,1
2006-07,2nd,Tracy McGrady,1
2005-06,2nd,Dwyane Wade,1
2004-05,2nd,Dwyane Wade,1
2003-04,2nd,Tracy McGrady,1
2002-03,2nd,Jason Kidd,1
2001-02,2nd,Gary Payton,1
2000-01,2nd,Tracy McGrady,1
2023-24,3rd,LeBron James,1
2022-23,3rd,Domantas Sabonis,1
2021-22,3rd,Karl-Anthony Towns,1
2020-21,3rd,Rudy Gobert,1
2019-20,3rd,Rudy Gobert,1
2018-19,3rd,Rudy Gobert,1
2017-18,3rd,Karl-Anthony Towns,1
2016-17,3rd,DeAndre Jordan,1
2015-16,3rd,Andre Drummond,1
2014-15,3rd,DeAndre Jordan,1
2013-14,3rd,Al Jefferson,1
2012-13,3rd,Dwight Howard,1
2011-12,3rd,Tyson Chandler,1
2010-11,3rd,Al Horford,1
2009-10,3rd,Andrew Bogut,1
2008-09,3rd,Shaquille O'Neal,1
2007-08,3rd,Yao Ming,1
2006-07,3rd,Dwight Howard,1
2005-06,3rd,Yao Ming,1
2004-05,3rd,Ben Wallace,1
2003-04,3rd,Yao Ming,1
2002-03,3rd,Jermaine O'Neal,1
2001-02,3rd,Dikembe Mutombo,1
2000-01,3rd,David Robinson,1
2023-24,3rd,Domantas Sabonis,1
2022-23,3rd,LeBron James,1
2021-22,3rd,LeBron James,1
2020-21,3rd,Jimmy Butler,1
2019-20,3rd,Jayson Tatum,1
2018-19,3rd,LeBron James,1
2017-18,3rd,Jimmy Butler,1
2016-17,3rd,Draymond Green,1
2015-16,3rd,Paul George,1
2014-15,3rd,Blake Griffin,1
2013-14,3rd,Paul George,1
2012-13,3rd,Paul George,1
2011-12,3rd,Carmelo Anthony,1
2010-11,3rd,LaMarcus Aldridge,1
2009-10,3rd,Tim Duncan,1
2008-09,3rd,Carmelo Anthony,1
2007-08,3rd,Carlos Boozer,1
2006-07,3rd,Carmelo Anthony,1
2005-06,3rd,Carmelo Anthony,1
2004-05,3rd,Shawn Marion,1
2003-04,3rd,Metta World Peace,1
2002-03,3rd,Jamal Mashburn,1
2001-02,3rd,Jermaine O'Neal,1
2000-01,3rd,Karl Malone,1
2023-24,3rd,Devin Booker,1
2022-23,3rd,Julius Randle,1
2021-22,3rd,Pascal Siakam,1
2020-21,3rd,Paul George,1
2019-20,3rd,Jimmy Butler,1
2018-19,3rd,Blake Griffin,1
2017-18,3rd,Paul George,1
2016-17,3rd,Jimmy Butler,1
2015-16,3rd,LaMarcus Aldridge,1
2014-15,3rd,Tim Duncan,1
2013-14,3rd,LaMarcus Aldridge,1
2012-13,3rd,David Lee,1
2011-12,3rd,Dirk Nowitzki,1
2010-11,3rd,Zach Randolph,1
2009-10,3rd,Pau Gasol,1
2008-09,3rd,Pau Gasol,1
2007-08,3rd,Paul Pierce,1
2006-07,3rd,Kevin Garnett,1
2005-06,3rd,Shawn Marion,1
2004-05,3rd,Tracy McGrady,1
2003-04,3rd,Dirk Nowitzki,1
2002-03,3rd,Paul Pierce,1
2001-02,3rd,Ben Wallace,1
2000-01,3rd,Dirk Nowitzki,1
2023-24,3rd,Stephen Curry,1
2022-23,3rd,De'Aaron Fox,1
2021-22,3rd,Chris Paul,1
